,text,label,verifikasi
,pulang ae lah,Marah,Benar
,triple duelist wkwk,Lucu,Benar
,VAANNGGGG game JADUL kapan lagi VANGG?? Kangen digimon world 3,Sedih,Benar
,bang.. Dragon Quest 8 versi Android worth it gk 300 ribu ?,Bingung,Benar
,BANG TANGGAPAN TENTANG FILM RE BARUU,Suka,Benar
,fetishnya diatas normal,Lucu,Benar
,anjir kepala kentang,Marah,Benar
,waduh dikit dikit lag,Sedih,Benar
,ini bahas fetish atau sircel,Bingung,Benar
,emmm,Suka,Benar
,fetish nya tai,Lucu,Benar
,ngide dengan otak beku,Marah,Benar
,:buffering:,Sedih,Benar
,Loh kok?,Bingung,Benar
,dah dah mulai gak sehat wkwkwk,Lucu,Benar
,mau jadi Kakashi si rafi,Suka,Benar
,"DIAM TAK BERGERAK, BERGERAK TAK DIAM. :v",Marah,Benar
,bang camer nonton live abang,Sedih,Benar
,udah mandi bang?,Bingung,Benar
,UDAH BERPENGALAMAN WKKWKW,Lucu,Benar
,DICARI,Suka,Benar
,DAGON ANJIRRRR,Marah,Benar
,punipun di friendzone gg,Sedih,Benar
,Tidur? Lu minum obat apa bisa tidur?,Bingung,Benar
,WOWKOWAKOKWKWKWKW,Lucu,Benar
,2 LEG BRO FINALNYA,Suka,Benar
,HES CHEATING,Marah,Benar
,om2 susah paham SW,Sedih,Benar
,apakah KKK klan termasuk sirkel ?,Bingung,Benar
,wkwwkwkwk,Lucu,Benar
,wew,Suka,Benar
,bang gema hiatos,Sedih,Benar
,JEWER JEWER JEWER,Marah,Benar
,ni ngomongin apa sih?,Bingung,Benar
,bensin pesawat bangsat wokowkkw,Lucu,Benar
,LIVESTREAM AJA BANG LEBIH ENA,Suka,Benar
,"F Mega, Serect yur cur",Sedih,Benar
,INGIN MENGHINA WTRC,Marah,Benar
,WKOWKWOKW,Lucu,Benar
,GIMANAAAA,Bingung,Benar
,tuhkannn muter,Suka,Benar
,Buset dah notip nya telat:),Sedih,Benar
,"SUSAH CUY, SOALNYA KALO NGEDEKET MALAH DIINJEK",Marah,Benar
,KANGGG HAJAR KANGG WKWKWK,Lucu,Benar
,how do sage get though?,Bingung,Benar
,Gwa udah denger sih bang walau baru dikit.,Suka,Benar
,frickin gg,Sedih,Benar
,gila nanya nya ke kak gita,Marah,Benar
,malah tambah kesel wkwmwk,Lucu,Benar
,PODCAST OMOM MANEE??????????,Bingung,Benar
,DUARRRR MEMEW,Suka,Benar
,bgsd pemaksaan,Marah,Benar
,punggung reyna berat,Sedih,Benar
,Lah awkoawkawok,Lucu,Benar
,"tp kn punya bapak ama emaknya, bkn pure punya dia",Suka,Benar
,bang 2022 nikah?,Bingung,Benar
,.......lugu,Sedih,Benar
,UDAH MALAM BANG,Marah,Benar
,bebannn:rolling_on_the_floor_laughing:,Lucu,Benar
,"HEH KITA HATERS YA BUKAN FANS, CAMKAN ITU",Suka,Benar
,"lalu bagaimana dengan kelanjutan Warrior Orochi 3 Ultimate,ini kan udah tahun baru, apa bisa dilanjut.",Bingung,Benar
,GAK GITU JUGA HEYYYY,Marah,Benar
,"bang, suaranya masih bergema",Sedih,Benar
,gile mengpiso,Lucu,Benar
,Gema or G for Gay,Bingung,Benar
,iyalahhh,Suka,Benar
,kumat,Marah,Benar
,udah kena covid.. akun kena Stike.. buruk lebih buruk,Sedih,Benar
,oakwowow gile,Lucu,Benar
,koq iso,Bingung,Benar
,KA GITAAAA,Suka,Benar
,"apanih kok jago, gak seru",Sedih,Benar
,gue juga ubana,Marah,Benar
,FAKTA :rolling_on_the_floor_laughing:,Lucu,Benar
,sit up tiap hari bang biar kempes perut,Suka,Benar
,kok jadih mortal kombat,Bingung,Benar
,PANTES NGELAG,Sedih,Benar
,ngontol,Marah,Benar
,@AvelAden AOWKWK,Lucu,Benar
,Oh gila,Suka,Benar
,hape bagus buat gaming tp murah apa ya,Bingung,Benar
,Wew setelah Internet meninggal,Sedih,Benar
,bangke bang gema random amat,Marah,Benar
,Kungkingkang:face_with_tears_of_joy:,Lucu,Benar
,G nonton aff bang?,Bingung,Benar
,HSLO BSNG,Suka,Benar
,Gak jadi deh,Sedih,Benar
,"gak usah,ntar ngirim yg aneh""",Marah,Benar
,bang sapi sapi apa yang nempel di dinding? STIKER SAPI:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Lucu,Benar
,TIDAK JANGAN KE GYM BANG GEMAA NANTI...,Suka,Benar
,gimana bang?,Bingung,Benar
,kasian ginjal cris,Sedih,Benar
,WAH SAKIT OTAKNYA,Marah,Benar
,jadi cheerleder aja lah... di carry enak :face_with_tears_of_joy:,Lucu,Benar
,wit mai gerl katanya,Suka,Benar
,HAMIL BERAPA BULAN BANG,Bingung,Benar
,Kang Dani sedang menahan amarahnya :v,Sedih,Benar
,"Hey maggie, are you jinx? your voice like jinx",Marah,Benar
,Jangan bidik kaki bang :rolling_on_the_floor_laughing:,Lucu,Benar
,asekkk,Suka,Benar
,bang gem mana topi PS nya,Bingung,Benar
,life is not daijobu,Sedih,Benar
,"kak gita, bang gem flirtingggg",Marah,Benar
,wwwwkwkkwkwk dah lah bang,Lucu,Benar
,Assalamu alaykum,Suka,Benar
,HAH GIMANA?,Bingung,Benar
,JADI BABU,Sedih,Benar
,MAAF TERANG BULAN SAMA MARETABAK MANIS ITU SAMA,Marah,Benar
,bukan nya kita hater ya :face_with_tears_of_joy::face_with_tears_of_joy:,Lucu,Benar
,kepala kentang mel,Suka,Benar
,kalau Scarlett ya bang?,Bingung,Benar
,fps drop,Sedih,Benar
,waduh gaberes nih komentar,Marah,Benar
,ogahh dAh wkwkwkwk,Lucu,Benar
,aplod tag blast,Suka,Benar
,alip apa kabar bangg??,Bingung,Benar
,gila cuma 30 fps,Sedih,Benar
,pengen pukul cuman jauh,Marah,Benar
,wkwkkw,Lucu,Benar
,NIKAH,Suka,Benar
,udahan ini?,Bingung,Benar
,Yahh sudah 2 jam,Sedih,Benar
,gak usah bikin deh,Marah,Benar
,"berasa main PB, wkwk",Lucu,Benar
,bang gema di tunggu di secret chamber,Suka,Benar
,namanya siapa tadiii,Bingung,Benar
,TARA BEAR sedang menangis di pojokan karena tidak diajak ACER,Sedih,Benar
,disebut woy,Marah,Benar
,"gw dah kelar ff7 remake, mantep bang",Suka,Benar
,@AvelAden jan mancing bang aowkwk,Lucu,Benar
,berbulu ga bang,Bingung,Benar
,aku kangen yukiko,Sedih,Benar
,iya bang emng bener sih lu gblk (canda bang),Marah,Benar
,Naruhodoo heyy,Suka,Benar
,BISA GITU KWKWLW,Lucu,Benar
,FOMO bg,Sedih,Benar
,Dota bang?,Bingung,Benar
,gg stands for gaguna,Marah,Benar
,Diludahin,Suka,Benar
,kungkingkang mendunia ekeke,Lucu,Benar
,defak? wkwkwk,Bingung,Benar
,aga ngeselin yah...,Sedih,Benar
,MASIH PAKE HEADSET DIA WOI,Marah,Benar
,MY MAN REALLY DEEPTALK RN,Suka,Benar
,kan kita haters wkwkwkw,Lucu,Benar
,dejapu euy,Bingung,Benar
,ngerii,Sedih,Benar
,"otak lu juga overthinking gem, jadi ngelag otak",Marah,Benar
,Wuihhhhhhhh HEEEEEEEEEEEEEE,Suka,Benar
,akwokwow,Lucu,Benar
,BANG TOMBOL DISLIKE NYA UDH GAK KELIATAN,Sedih,Benar
,Skripsi? APA ITU TIDUR,Bingung,Benar
,fm malu2in dah,Marah,Benar
,"udah pasti sih indonesia ga juara tahun ini, ",Suka,Benar
,atau bang arnold wkwk,Lucu,Benar
,tewas nya gitu amat,Sedih,Benar
,BANG DAH NONTON RESIDENT EVIL BELOMM BANGG,Bingung,Benar
,ngideh,Marah,Benar
,Ajak nonton Hent*ai aja,Suka,Benar
,"asli bang satu kantor gua semua swab negatif, tapi bindeng semua hahahah",Lucu,Benar
,bamg suaranya gema,Sedih,Benar
,baobao apaan nama ig nya >_<,Bingung,Benar
,mau ngide nihhh pastii,Marah,Benar
,aowkowkw ngetroll,Lucu,Benar
,19.30,Suka,Benar
,YAHHHH SENDIRIAN,Sedih,Benar
,Bang Apa tu Bulet di tengah kursi,Bingung,Benar
,LAG GEM TURUNIN BITRATE NYA,Marah,Benar
,keinget ceritanya kang Dani nobar bokeb wkakakak,Lucu,Benar
,PSK = PENGGEMAR SATE KILOAN,Suka,Benar
,kasian chris dah dipotong gaji beli PC mahal di VGA,Sedih,Benar
,ngapa mesti kelabang,Bingung,Benar
,COME ON LAH FM BERSAHABAT DIKIT LAH,Marah,Benar
,klo lu ntnn yg dari taboo ada alur cerita ny dan bisa gw bilang akting ny bagus wkkwkwk,Lucu,Benar
,dw9 hanya fiksi,Suka,Benar
,jir bareng,Sedih,Benar
,persona apakabar?,Bingung,Benar
,*i hate this game,Marah,Benar
,wkwkkwkwkwk,Lucu,Benar
,saweria lewat,Suka,Benar
,biasa aja bang ngomongnya,Sedih,Benar
,bang dani gk live twtitch??,Bingung,Benar
,Bang indra pendengaran di Valo penting. jadi jangan terlalu rusuh,Marah,Benar
,pahlawan kesiangan mode,Lucu,Benar
,kak gitaa,Suka,Benar
,"dulu jaman smk ada yang useless, tp kenapa tetep ane pilih setiap ada kerja kelompok? :thinking_face:",Bingung,Benar
,sudah tidak jomblo dia,Sedih,Benar
,ehhhh circle nya jangan ke yang bentuk circle yang laen yah tolong,Marah,Benar
,oakaowkw simp,Lucu,Benar
,:snake::snake::snake::snake: semua bisa,Suka,Benar
,hmm gimana...,Bingung,Benar
,Gebetan Not Respondinf,Sedih,Benar
,wele wele wele kntl kntl,Marah,Benar
,mantul wkwkkwkw,Lucu,Benar
,cari sendiri chris,Suka,Benar
,GIMANE......,Bingung,Benar
,ping turunn,Sedih,Benar
,dah hilang,Marah,Benar
,DIAA HIGH BLOOD WKWKWK,Lucu,Benar
,kak giiitaaa,Suka,Benar
,looo kok,Bingung,Benar
,ya biasalah bocil sebelah,Sedih,Benar
,ah bodolah :v,Marah,Benar
,Gak usah pake kuah soto kang wkwk,Lucu,Benar
,Nobarrr,Suka,Benar
,apa ini,Bingung,Benar
,Bang perutnya offside,Sedih,Benar
,peepoAngry,Marah,Benar
,awkoawokawokoakw,Lucu,Benar
,joko boy,Suka,Benar
,"tidur saat skirpsi? hey, dari universe mana anda",Bingung,Benar
,teriakan lelaki jirr,Sedih,Benar
,modem di geplak meq,Marah,Benar
,yah kejadian lagi dong :rolling_on_the_floor_laughing::beaming_face_with_smiling_eyes::rolling_on_the_floor_laughing:,Lucu,Benar
,kok pentil,Bingung,Benar
,mulaii,Suka,Benar
,bang gua kangen lo main dynasty warrior bang,Sedih,Benar
,Udah useless kok dependable,Marah,Benar
,puting bolong puting bolong:face_with_tears_of_joy:,Lucu,Benar
,bang re4 remake gimana kabarnya nih,Bingung,Benar
,bang windah sibuk katanya....,Suka,Benar
,gamer nyasar,Sedih,Benar
,"bang paha nya mohon di tutup, jyjyck",Marah,Benar
,"cutek , nah jadi keinget masa smp wkwk",Lucu,Benar
,MANWHA APA,Bingung,Benar
,bkp,Suka,Benar
,"Jangaaaan, jangaan sampe ada drama di komunitas ini",Sedih,Benar
,besoknya meninggal,Marah,Benar
,pirate xxx sutrada tu bang :beaming_face_with_smiling_eyes:,Lucu,Benar
,live lagi lah bang gem,Bingung,Benar
,ad clip nanti bakal ngeclip,Suka,Benar
,bye bang gemm,Sedih,Benar
,GAK GUNA,Marah,Benar
,nah kan wkwkwk,Lucu,Benar
,Media pertama,Suka,Benar
,kooq jadi podcast om om,Bingung,Benar
,LEBIH KE MENTINGIN GENGSI SIH KALO ITU,Sedih,Benar
,DISEBUT,Marah,Benar
,kwkwkkwkwk sentoloppp,Lucu,Benar
,SI DUKE,Suka,Benar
,oya 7 haven gimana,Bingung,Benar
,firstmedia gua abis bermasalah ga stabil cooo pingnya,Sedih,Benar
,bang gem saweria jgn di skip2 ya bacanya,Marah,Benar
,aokwoakw Kungkingkang menginvasi,Lucu,Benar
,om om gabut lagi rumpi,Suka,Benar
,kok? gimana?,Bingung,Benar
,LAGI MENINGGAL,Sedih,Benar
,DETAIL YA...,Marah,Benar
,awkoakwoa,Lucu,Benar
,besok UAS sih nonton gema ajalah,Suka,Benar
,coral island gimana bang mengjanjikan gak perkembangan nya ?,Bingung,Benar
,pengen rebuild pc tapi VGA gk ngotak,Sedih,Benar
,gaseru,Marah,Benar
,MALAH MAEN WKWKW,Lucu,Benar
,siapkan parang untuk ke japos saudara saudara,Suka,Benar
,Halo Bang masih kuat LIVE bang? tadikan habis LIVE jadi Vtuber :upside_down_face:,Bingung,Benar
,Langsung mental break the limit,Sedih,Benar
,Disogok meq,Marah,Benar
,beli senjata yg sama wkwkkw,Lucu,Benar
,zoom manual,Suka,Benar
,APANIH KOK BANYAK KODE,Bingung,Benar
,LAGIIIII,Sedih,Benar
,FLASHNYA BAGUTS DEH,Marah,Benar
,aowkwkwkwkwkw,Lucu,Benar
,ga maen?,Bingung,Benar
,anak bawang,Sedih,Benar
,4-1 4-2 4-3,Suka,Benar
,kopirek ntar,Marah,Benar
,jhjaajajaj,Lucu,Benar
,apa ini gema dari masa depan?? apakah ini hot tub time machine??,Bingung,Benar
,bentrok ama urusannya bang brando,Sedih,Benar
,hmmmm,Suka,Benar
,FLEXINF!!!,Marah,Benar
,oh... jadi kebahagiaan bang gema minimal sebesar tai ngambang :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Lucu,Benar
,not horse?,Bingung,Benar
,100-100,Suka,Benar
,TINGGALIIINNNN!!!!,Sedih,Benar
,gw laper nih jangan di suruh mikir gituan,Marah,Benar
,Selalu yang pertama:rolling_on_the_floor_laughing:,Lucu,Benar
,Tifa mana tifaaaaaaaaaa,Bingung,Benar
,AFF Afi Fanteng Fanget,Suka,Benar
,syedih sekali,Sedih,Benar
,anjing,Marah,Benar
,wah pecah pecah,Lucu,Benar
,Ngecast apaan bang kasp,Bingung,Benar
,bang gw pengen curhat nih,Sedih,Benar
,gw kira PHD bang,Suka,Benar
,no no,Marah,Benar
,DISEBUT WKAKAKAKA,Lucu,Benar
,random kayak bapak sama omnya,Sedih,Benar
,mau nobar bola bang?,Bingung,Benar
,om bugil dong P A P,Suka,Benar
,DIINJEK MEQ,Marah,Benar
,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,Lucu,Benar
,kannnnnnnn,Sedih,Benar
,mana layar nya,Bingung,Benar
,PAMER TOSSSS,Marah,Benar
,VGA masi mahal yaa,Suka,Benar
,wkwkwkkwkwkwkkwkwk,Lucu,Benar
,lagi makan dianya ngomongin tai ngambang,Sedih,Benar
,apasih,Bingung,Benar
,we need obama,Suka,Benar
,noooooooooooo,Marah,Benar
,enak banget di gendong pro wkwk,Lucu,Benar
,tapi emg itu filter pertemanan aih,Sedih,Benar
,RE Movie gimana bang gem udh nonton?,Bingung,Benar
,Guoblim,Suka,Benar
,SESAAATTTTT,Marah,Benar
,sesad! :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Lucu,Benar
,"Ntar dulu, cewenya umur berapa",Bingung,Benar
,rafatar sombong,Sedih,Benar
,haalooooo,Suka,Benar
,Rusak rusak,Marah,Benar
,AOWKKOWAKOKAOW,Lucu,Benar
,"gua aja waktu tugas kelompok isinya 5 orang, gua doang yang ngerjain tugas",Sedih,Benar
,sepeda sepeda apa yang ga bisa di cat,Bingung,Benar
,bang windah di ajak tapi waktu ga cocok,Suka,Benar
,Bang besok saya try out malah nonton anda,Marah,Benar
,Bang lu kok ganteng bismillah ps5 :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Lucu,Benar
,Diya panik,Sedih,Benar
,punipun ?????????,Bingung,Benar
,udah kaya jiun,Suka,Benar
,cloud tu emang tolol,Marah,Benar
,khong guanism wkwk,Lucu,Benar
,:buffering::buffering:,Sedih,Benar
,Gita are you here ???,Bingung,Benar
,Ngocok Dadu kan....,Suka,Benar
,GELAP HEY,Marah,Benar
,BODOLAH WKWKWKWWKWW,Lucu,Benar
,bro,Sedih,Benar
,TY BG,Suka,Benar
,vang beruang madu mana?,Bingung,Benar
,GIMANA JING,Marah,Benar
,akwoakwokaow,Lucu,Benar
,:buffering::oops:,Sedih,Benar
,bntr itu bukan IPAD kan ?,Bingung,Benar
,semoga FM tidak melucu,Suka,Benar
,Bangsat juga ya\,Marah,Benar
,KWKWKWKK,Lucu,Benar
,EVERYDAY IS CHEATING DAY!!!,Sedih,Benar
,bidjie,Bingung,Benar
,orang apa yang tua? orang tua,Suka,Benar
,media pertama cupuuu,Marah,Benar
,wkwkwkkwkwkwkwkwk,Lucu,Benar
,di jaman loe masih ada putao nggak bang,Bingung,Benar
,Waduh berat ini,Sedih,Benar
,kratingdeng 12 kaleng mantap,Suka,Benar
,Gelap,Marah,Benar
,Awkwkwkkwkw,Lucu,Benar
,bang tips menghilangkan kejombloan,Bingung,Benar
,phasmo lah dah lama gak phasmo,Sedih,Benar
,sebenci itu kah dunia pada manusia yang baru jadian ini,Marah,Benar
,chris libur kan live 2 kali sehari,Suka,Benar
,HORROR game berkedok 5 vs 5,Lucu,Benar
,lah muka ?,Bingung,Benar
,jadi tumbal,Sedih,Benar
,udah tau tuli malah jangan dengerin org lain,Marah,Benar
,konten tara arts sehat,Suka,Benar
,slepet aja akwowkwo,Lucu,Benar
,apanich,Bingung,Benar
,yah elah namanya jg bocil. mana ngerti apa yg ada di belakang layar....,Sedih,Benar
,dewi fortunjing memberkatimu,Suka,Benar
,TUOLLOL,Marah,Benar
,AHAHAHAHSHSHSHAHAHA,Lucu,Benar
,kok bisa,Bingung,Benar
,mbuuuuunnn,Suka,Benar
,"sejak NWH, Spider-Man Miles Morales jdi gk turun turun harganya",Sedih,Benar
,gajee banget daahh ambiguuu,Marah,Benar
,4 jam palingan wkwk,Lucu,Benar
,"gilaa , cool yeeeee???",Bingung,Benar
,bangssaaatttt,Marah,Benar
,stay jomblo mode. jadi tong sam chong,Sedih,Benar
,penect R3 aja kalau di ps (yg remastered),Suka,Benar
,xixixiixix,Lucu,Benar
,kok kenal,Bingung,Benar
,"CUBIT PUTING BAPAK NYA, BANG",Marah,Benar
,bang gacha ampas terus kezel bang,Sedih,Benar
,ama ryzen 7,Suka,Benar
,Bang gema ikut valorant Champions di Berlin wkwkwk,Lucu,Benar
,apakah saya telat?,Bingung,Benar
,"""TERSERAH""",Marah,Benar
,mati terus,Sedih,Benar
,iphone dateng,Suka,Benar
,akkakakwkwkwkwkwkw,Lucu,Benar
,lah ga malming lagi,Bingung,Benar
,duh fm,Marah,Benar
,fps rada drop,Sedih,Benar
,menari*,Suka,Benar
,anjir teriakan lelaqi :face_with_tears_of_joy:,Lucu,Benar
,emangnya bisa tumbuh dimana lagi ?,Bingung,Benar
,discord bayar bang supaya bisa nikmatin fitur tambahan,Sedih,Benar
,CHRIS,Suka,Benar
,Ngepet Nih jangan²,Marah,Benar
,ahahhahahaha,Lucu,Benar
,duh gimana yaaa,Bingung,Benar
,Miles Morales gk turun turun harganya,Sedih,Benar
,"""jomblo sih""",Suka,Benar
,kalo itu ngide bang pacaran ke mall pake sketbod,Marah,Benar
,anjir wkkwkwkwkw,Lucu,Benar
,diskon berapa PERSEN BANG,Bingung,Benar
,"bang gw gak punya circle, punyanya triangle",Sedih,Benar
,niceee,Suka,Benar
,BLOKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,Marah,Benar
,diaaa sangee trus yg disebut wkwkkw,Lucu,Benar
,Waduu live apa nich?,Bingung,Benar
,Bang gw maen persona 4 di aether ngelag parah,Sedih,Benar
,ajak nonton lh bro,Suka,Benar
,flashnya nyusahin teman emang,Marah,Benar
,WKOWKOWKOKWWK,Lucu,Benar
,"koq koq , mbak gitaaaa",Bingung,Benar
,konsisten gk nich hadehh,Sedih,Benar
,ga gituyy,Marah,Benar
,mbak gita tolong,Suka,Benar
,Bangke wkwk,Lucu,Benar
,glitch supression itu bang,Sedih,Benar
,oh ngelawak dia?,Bingung,Benar
,RUSAKKKK,Marah,Benar
,AFF HEEEEEIIIIII,Suka,Benar
,AOKWOAKWOAKWOAWAWA,Lucu,Benar
,phoenix kurang cocok ama bang Gem kayanya :moai:,Sedih,Benar
,kaya bijik ya,Bingung,Benar
,idiot gk tuh,Marah,Benar
,PH Pemuas Hasrat,Suka,Benar
,dia yang mati wkwk,Lucu,Benar
,kecowaaaa,Sedih,Benar
,kok vga bisa mahal bang,Bingung,Benar
,MBAK GITA BAPAK GEMA NAKALLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL :zany_face::squinting_face_with_tongue:,Marah,Benar
,mahakuasa mek,Suka,Benar
,LMAOOO,Lucu,Benar
,gw kira Mabar Ama si saykuno,Sedih,Benar
,gak jadi phasmo nih?,Bingung,Benar
,NENEK SAYA DULU SERING NYERI PINGGANG SETELAH PAKE LEPTOP ACER SAKIT PINGGANG NYA ILANG:yougotthis::yougotthis::yougotthis::yougotthis:,Marah,Benar
,mau dibunuh,Suka,Benar
,wkwkwkwk salah intip,Lucu,Benar
,gua pakek snapdragon 712 main persona 4 bisa si 60 fps cuma yah sering force close,Sedih,Benar
,gimana?,Bingung,Benar
,YODA VOICE PLEASE,Suka,Benar
,"itu jaipongan bgsd , beda",Marah,Benar
,AMD: Gaosah delay delay lah wkwk,Lucu,Benar
,HIDUP ITU ADIL KARENA SEMUA ORANG MERASA HIDUP TIDAK ADIL,Sedih,Benar
,berapa bulan itu bayi bang???,Bingung,Benar
,tampol bapaknya bang,Marah,Benar
,pake gamebot bang,Suka,Benar
,kimi hime wkwkw,Lucu,Benar
,auto bundir itu mah,Sedih,Benar
,gmn???,Bingung,Benar
,LIAT MAP HEY,Marah,Benar
,gimana jink,Suka,Benar
,Awowkwowkow,Lucu,Benar
,Taruh dulu makanannya yg lagi makan :v,Sedih,Benar
,Bang Kalo ade rai pindah ke Jepang Namanya ganti jadi Samu rai ga?,Bingung,Benar
,duelist nya kebanyakan bang,Marah,Benar
,:awesome:,Suka,Benar
,aowkawokawok,Lucu,Benar
,sebenrnya bang dani lupa password,Sedih,Benar
,huh,Bingung,Benar
,KOK MALAH JADI JUDUL SINETRON,Marah,Benar
,cokobi dodo,Suka,Benar
,TAPI DI SEBUTIN AKWOWKOWKW,Lucu,Benar
,jangan,Sedih,Benar
,gimana2?,Bingung,Benar
,bgst gw ikut mikir,Marah,Benar
,life is never flat -chitato,Suka,Benar
,AOAOOAAKOAWKKAOWOW GAK NGERTI LAGIDAH,Lucu,Benar
,113? saya 50 kg aja kaga nyentuh,Sedih,Benar
,drop fps?,Bingung,Benar
,anjreeettt,Marah,Benar
,stuck,Suka,Benar
,Aowkoakwoakwka,Lucu,Benar
,"yang gk tau alasan windah gk ada di RI. windah udah ada janji,dia kan jadi bestman di nikahan upi",Sedih,Benar
,7 bulan ngegym apa 7 bulan makbung?,Bingung,Benar
,MENINGGALLLL,Marah,Benar
,makanya bang ngeroshan ambil aegis biar gak mati,Suka,Benar
,njir sedih banget dah wkwkwk,Lucu,Benar
,wah saya tidak telat gan:buffering:,Sedih,Benar
,beneran cuma friend? :grinning_face:,Bingung,Benar
,gini nih pembahasan otak² waktu menyentuh jam 23.00,Marah,Benar
,@MbakGita,Suka,Benar
,GOBLOK WKWKWKKWKW,Lucu,Benar
,JANDA HUNTER MENGHILANG,Sedih,Benar
,maen istri maen apa bang,Bingung,Benar
,no dota,Marah,Benar
,"maen ctr ada yang finish, w bahagia bang",Suka,Benar
,"Saya udahan Deh,Capek Saya ketawa,Nonton Replay aja nanti Wkwkwk",Lucu,Benar
,Mati dong ditembak,Sedih,Benar
,Anying goyang cokk,Marah,Benar
,"TIFA, AR YU HIR?",Bingung,Benar
,ps vita sma pc,Suka,Benar
,sesad akwkwkwkwk,Lucu,Benar
,dah capek,Sedih,Benar
,bad,Marah,Benar
,bang cara bikin proker gabungan gimana bang?,Bingung,Benar
,GITT,Suka,Benar
,lawan wanda wkwkwkw,Lucu,Benar
,meninggal nich,Sedih,Benar
,KURSINYA BARU LAGI SI KAMVING,Marah,Benar
,kapan mabarnya nih?,Bingung,Benar
,untung kgk speaker.....,Suka,Benar
,BAHAHAHAHQ,Lucu,Benar
,lah kok ngamuk,Sedih,Benar
,udah tidur bang otak lu dah RTO tuh,Marah,Benar
,KANG DANII TWITCH GIMANA SEHAT ? :face_with_tears_of_joy:,Bingung,Benar
,sama bang,Suka,Benar
,true wkwkwkk,Lucu,Benar
,Koq matii,Sedih,Benar
,HEEEEEEEEEEEEEE,Bingung,Benar
,"@CORJNGT gk sopan wey, orang lgi ngomong",Marah,Benar
,@RizqiDDD yg menang kocokan abang2 martabak bro. gw dah pernah ngukur kecepatan ngocok nya,Suka,Benar
,wkwkwk anjier,Lucu,Benar
