informal,formal
heaven,surga
heavenly,surga
hedsetnya,penyuara kuping
heeeeeiiiiii,woi
heeeweeeeee,bersetubuh
heei,woi
heh,hah
hei,woi
hell,sungguh
hello,halo
helo,halo
hent,mesum
hentai,mesum
hepi,senang
her,dia
here,sini
hes,dia
hey,woi
hg,lagi
hhhhehhhhhh,hah
hi,hai
hiatos,hiatus
high,tinggi
hihiks,sedih
hime,putri
hir,sini
his,dia
hiya,iya
hoak,berita bohong
hoax,berita bohong
hoe,woi
hoki,untung
hokinya,untung
hold,tahan
home,rumah
honey,madu
hoo],ho
hooax,berita bohong
hoooore,hore
horny,nafsu
hororrant,valorant
horror,horor
horse,kuda
host,tuan rumah
hostnya,tuan rumah
hot,panas
house,rumah
how,bagaimana
hqha,[ketawa]
hslo,halo
hua,saya
hub,pusat
huehueheuh,[ketawa]
huh,hah
huhuhuhuh,[menangis]
humornya,humor
hunt,buru
hunter,buru
husband,suami
hut,pondok
huwwaaaa,[menangis]
i,saya
ibunya,ibu
icebox,kotak es
id,indonesia
ide,iseng
ig,instagram
iihhh,ih
ijo,hijau
iklannya,iklan
iktu,ikut
ikutan,ikut
ikutan2,ikut
ikz,ayo
ilang,hilang
illegal,ilegal
im,saya
immortal,abadi
imposter,tipu
impostor,tipu
in,masuk
indo,indonesia
inet,internet
influencer,pengaruh
ingeit,ingat
inget,ingat
ingfo,info
ingres,inggris
inikan,ini
inilah,ini
inimah,ini
injek,injak
insecure,tidak aman
internal,dalam
intinya,inti
introvert,tutup
invest,investasi
ipidnya,ipad
iron,besi
is,adalah
isep,hisap
isinya,isi
island,pulau
iso,bisa
istrinya,istri
it,itu
its,itu
iyaiyaiya,iya
iyalah,iya
iye,iya
jadian,jadi
jadih,jadi
jadiin,jadi
jadilah,jadi
jadu,jadi
jadwalnya,jadwal
jaipongan,jaipong
jajmen,hakim
jaksel,jakarta selatan
jamsot,tembak lompat
jamsut,tembak lompat
jan,jangan
jancoj,berengsek
jancok,berengsek
jangaaaan,jangan
jangaan,jangan
jangan2,jangan
jangkauan,jangkau
jangna,jangan
jarinya,jari
jatoh,jatuh
jav,film dewasa
javu,pernah
jawb,jawab
jayen,raksasa
jd,jadi
jdi,jadi
jdung,hidung
jebakan,jebak
jejepangan,jepang
jembud,jembut
jemvut,jembut
jenk,anjing
jentet,jelek
jeti,juta
jg,juga
jga,juga
jgn,jangan
jgnkan,jangan
jijijk,jijik
jijique,jijik
jik,jijik
jin,anjing
jing,anjing
jingan,bajing
jink,anjing
jinx,anjing
jir,anjing
jngn,jangan
job,kerja
jodohku,jodoh
joget2,joget
join,ikut
joke,lucu
jokes,lucu
jokesnya,lucu
jokiin,joki
jomblo,lajang
jontor,bengkak
joooorrrrooook,jorok
jt,juta
judgement,hakim
judulnya,judul
judupnya,judul
jugakk,juga
jugam,juga
jugdment,hakim
jumpshoot,lompat tembak
jumpshot,lompat tembak
jurusan,jurus
just,hanya
jut,juta
jyjyck,jijik
jyjyl,jijik
k,baik
ka,kakak
kaan,kan
kabarnya,kabar
kacangin,diem
kacaw,kacau
kaga,tidak
kagak,tidak
kak,kakak
kaka,kakak
kalimatnya,kalimat
kalinya,kali
kalo,kalau
kalok,kalau
kameranya,kamrea
kampang,sial
kampret,sial
kamuh,kamu
kamving,kambing
kang,kakak
kang2,kakak
kap,juara
kapam,kapan
karakternya,karakter
karbitan,musim
karna,karena
karyanya,karya
karyawannya,karya
kasian,kasih
kata2nya,kata
katainnya,kata
katanya,kata
kate,kata
katering,makan
kawan,taman
kawanku,taman
kayak,seperti
kayaknya,seperti
kayanya,seperti
kayu,kayu
keasaman,asam
kebahagiaan,bahagia
kebangun,bangun
kebanyak,banyak
kebanyakan,banyak
kebawah,bawah
kebeli,beli
keberatan,berat
kebetulan,benar
kebiasaan,biasa
kebingungan,bingung
kebodohan,bodoh
keburuh,buru
kecabut,cabut
kecepatan,cepat
kecopas,salin
kecowa,kecewa
kedelay,tunda
kedepan,depan
kedua,dua
keduan,dua
kegep,tangkap
kehidupan,hidup
kehilangan,hilang
keidungnya,hidung
keiggrisan,inggris
keinget,ingat
keiteman,hitam
kejadian,jadi
kejauhan,jauh
kejombloan,lajang
kek,seperti
kekayaan,kaya
keker,kekar
kekeuh,kekeh
keknya,seperti
kelainan,lain
kelakuan,laku
kelanjutan,lanjut
kelar,selesai
kelepasan,lepas
kelewatan,lewat
keliatan,lihat
keluara,keluar
kemana,mana
kemaren,kemarin
kematian,mati
kempes,kempis
kemprul,berengsek
kemudahan,mudah
kemungkinan,mungkin
kemungkinannya,mungkin
ken,kan
kentangnya,kentang
kepake,pakai
kepalanya,kepala
kepikiran,pikir
keplak,pukul
keplal,pukul
kerasa,rasa
kerjaan,kerja
kerjanya,kerja
kesambet,kesurupan
kesedak,tersedak
kesel,kesal
keselek,tersedak
kesempatan,sempat
keseruan,seru
kesesatan,sesat
kesian,kasihan
kesiangan,siang
kesini,ke sini
kesukaan,suka
kesulitannya,sulit
ketahuan,tahu
ketampanan,ganteng
ketangkep,tangkap
ketauan,tahu
ketec,ketiak
ketek,ketiak
ketelen,telan
ketempelan,kesurupan
ketemu,temu
ketemuan,temu
keterusan,terus
ketex,ketiak
ketinggalan,tinggal
keyboardnya,papan ketik
kezal,kesal
kezeel,kesal
kezel,kesal
kg,tidak
kgk,tidak
kill,bunuh
kiloan,kilo
king,raja
kirain,kira
kkkk,[ketawa]
kl,kalau
klean,kalian
klo,kalau
klw,kalau
kmpret,sial
kmrn,kemaren
kn,kan
knew,tahu
knight,ksatria
know,tahu
knp,kenapa
kntl,berengsek
ko,kok
kocokan,kocok
kocook,kocok
kog,kok
koh,kakek
kolab,kolaborasi
kolornya,celana dalam
komen,komentar
komen2,komentar
komenlu,komentar kamu
komennya,komentar
kompitable,kompatibel
kondisiin,kondisi
kondisikan,kondisi
konsen,konsentrasi
konsepnya,konsep
konteiner,kotak
koook,kok
koq,kok
kopirek,hak cipta
koq,kok
korean,korea
kpn,kapan
kram,keram
kresek2,keresek
ks,maling bunuh
ku,saya
kubilang,aku bilang
kudu,harus
kuduga,duga
kukinkangkukikng,kukingkang
kukuking,kukingkang
kung,kukingkang
kungking,kukingkang
kungkingkang,kukingkang
kungkingkangkunggg,kukingkang
kungkingkangs,kukingkang
kungkingkangtm,kukingkang
kungkingkungkingkang,kukingkang
kungkinkangggg,kukingkang
kuningan,kuning
kupret,berengsek
kurang2,kurang
kursinya,kursi
kyak,seperti
kyk,seperti
kyknya,seperti
kzl,kesal
la,lah
laba2,laba
laen,lain
laennya,lain
lag,lambat
lagging,lambat
lagidah,lagi
lago,lagi
lahi,lagi
lahirnya,lahir
laip,langsung
lajut,lanjut
lakik,laki-laki
lakinya,laki-laki
lakuin,lakukan
lalalala,lalala
lama2,lama
lanjutin,lanjut
lanjutkan,lanjut
laper,lapar
lapoooor,lapor
laporan,lapor
laporr,lapor
laprak,lapor
last,akhir
latency,ganggu
later,nanti
lau,lau
layout,susun
leader,pemimpin
lebaran,lebar
leg,babak
legebet,homo
legend,legenda
lelaki,laki-laki
lelaqi,laki-laki
lemot,lambat
lep,laptop
leptop,laptop
les,ayo
lessgo,ayo
let,biar
lets,ayo
letsgo,ayo
level,tingkat
lg,lagi
lgbt,homo
lgi,lagi
lgsg,langsung
lh,lah
lha,lah
lho,lah
liat,lihat
life,hidup
lih,lah
like,suka
link,tautan
linknya,tautan
lion,singa
lite,ringan
literelly,harfiah
literli,harfiah
live,langsung
livenya,langsung
livestream,siaran langsung
livestreamnya,siaran langsung
lngsung,langsung
lnjut,lanjut
lo,kamu
loading,memuat
loe,kau
log out,keluar
loh,lah
lohe,lah
lom,belum
lompagt,lompat
loncat,lompat
loo,kamu
lord,tuan
lost,hilang
loudest,keras
love,cinta
low,kecil
lu,kamu
luck,untung
lulebih,kamu lebih
lust,nafsu
luttu,lucu
lutuna,lucu
lvl,tingkat
maaaaati,mati
maaaati,mati
maaati,mati
maap,maaf
maapkan,maaf
maati,mati
maati,mati
mab,maaf
mabar,main bareng
mabarnya,main bareng
mabok,mabuk
macem,macam
macer,macet
machine,mesin
madness,gila
madu,madu
maem,makan
maen,main
maenan,main
maenin,main
maennya,main
magazine,majalah
mager,malas
mahakuasa,maha kuasa
mahluk,makhluk
mai,saya
mainan,main
mainin,main
mainnya,main
mainyya,main
majuin,maju
mak,ibu
makanan,makan
makanannya,makan
makannya,maka
makanya,maka
makasi,terima kasih
makasih,terima kasih
makbung,makan
make,pakai
maker,buat
maks,maksimal
maksain,maksa
maksud,maksud
maksudnya,maksud
mala,malah
malahan,malah
malahn,malah
malai,mulai
malam,malam
malem,malam
malem2,malam
males,malas
malink,maling
mall,pasar
